# Legend
#
# b
#     3-bit value.
# n
#     8-bit value.
# nn
#     16-bit value, little-endian. E.g. the JP 1234H opcode is C3 34 12.
# o
#     8-bit offset, 2’s complement.
# p
#     8-bit offset address
# r
#     Register. This can be A, B, C, D, E, H or L. Add the following value to the last byte of the opcode:
#     Register         Register bits value
#     A        7
#     B        0
#     C        1
#     D        2
#     E        3
#     H        4
#     L        5
# IXq
#     Denotes the high or low part of the IX register: IXh or IXl. Add the following value to the last byte of the opcode:
#     Register         Register bits value
#     IXh      4
#     IXl      5
# IYq
#     Denotes the high or low part of the IY register: IYh or IYl. Add the following value to the last byte of the opcode:
#     Register         Register bits value
#     IYh      4
#     IYl      5

# the following lines have the rules for validating the input
% b \b([0-7])
% nn \b(0x[0-F]{4,6}|[0-F]{4,6}H?)
% n \b(0x[0-F]{2}|[0-F]{2}H?)
% o \b([\+\-]0x[0-F]{2}|[\+\-][0-F]{2}H?)
% p \b(0x[0-F]{4,6}|[0-F]{4,6}H?)
% r \b([A-E]|H|L)
% IXq \b(IXh|IXl)
% IYq \b(IYh|IYl)

# the following lines contains the values of the registers
= A 7
= B 0
= C 1
= D 2
= E 3
= H 4
= L 5
= IXh 4
= IXl 5
= IYh 4
= IYl 5

ADC A,(HL) 	0x8E
ADC A,(IXo) 	0xDD 0x8E o
ADC A,(IYo) 	0xFD 0x8E o
ADC A,n 	0xCE n
ADC A,r 	0x88+r
ADC A,IXq 	0xDD 0x88+IXq
ADC A,IYq 	0xFD 0x88+IYq
ADC HL,BC 	0xED 0x4A
ADC HL,DE 	0xED 0x5A
ADC HL,HL 	0xED 0x6A
ADC HL,SP 	0xED 0x7A
ADD A,(HL) 	0x86
ADD A,(IXo) 	0xDD 0x86 o
ADD A,(IYo) 	0xFD 0x86 o
ADD A,n 	0xC6 n
ADD A,r 	0x80+r
ADD A,IXq 	0xDD 0x80+IXq
ADD A,IYq 	0xFD 0x80+IYq
ADD HL,BC 	0x09
ADD HL,DE 	0x19
ADD HL,HL 	0x29
ADD HL,SP 	0x39
ADD IX,BC 	0xDD 0x09
ADD IX,DE 	0xDD 0x19
ADD IX,IX 	0xDD 0x29
ADD IX,SP 	0xDD 0x39
ADD IY,BC 	0xFD 0x09
ADD IY,DE 	0xFD 0x19
ADD IY,IY 	0xFD 0x29
ADD IY,SP 	0xFD 0x39
AND (HL) 	0xA6
AND (IXo) 	0xDD 0xA6 o
AND (IYo) 	0xFD 0xA6 o
AND n 	0xE6 n
AND r 	0xA0+r
AND IXq 	D0xD 0xA0+IXq
AND IYq 	0xFD 0xA0+IYq
BIT b,(HL) 	0xCB 0x46+8*b
BIT b,(IXo) 	0xDD 0xCB o 0x46+8*b
BIT b,(IYo) 	0xFD 0xCB o 0x46+8*b
BIT b,r 	0xCB 0x40+8*b+r
CALL nn 	0xCD nn
CALL C,nn 	0xDC nn
CALL M,nn 	0xFC nn
CALL NC,nn 	0xD4 nn
CALL NZ,nn 	0xC4 nn
CALL P,nn 	0xF4 nn
CALL PE,nn 	0xEC nn
CALL PO,nn 	0xE4 nn
CALL Z,nn 	0xCC nn
CCF 	0x3F
CP (HL) 	0xBE
CP (IXo) 	0xDD 0xBE o
CP (IYo) 	0xFD 0xBE o
CP n 	0xFE n
CP r 	0xB8+r
CP IXq 	0xDD 0xB8+IXq
CP IYq 	0xFD 0xB8+IYq
CPD 	0xED 0xA9
CPDR 	0xED 0xB9
CPI 	0xED 0xA1
CPIR 	0xED 0xB1
CPL 	0x2F
DAA 	0x27
DEC (HL) 	0x35
DEC (IXo) 	0xDD 0x35 o
DEC (IYo) 	0xFD 0x35 o
DEC A 	0x3D
DEC B 	0x05
DEC BC 	0x0B
DEC C 	0x0D
DEC D 	0x15
DEC DE 	0x1B
DEC E 	0x1D
DEC H 	0x25
DEC HL 	0x2B
DEC IX 	0xDD 0x2B
DEC IY 	0xFD 0x2B
DEC IXq 	0xDD 0x05+8*IXq
DEC IYq 	0xFD 0x05+8*IYq
DEC L 	0x2D
DEC SP 	0x3B
DI 	0xF3
DJNZ p 	0x10 p
EI 	0xFB
EX (SP),HL 	0xE3
EX (SP),IX 	0xDD 0xE3
EX (SP),IY 	0xFD 0xE3
EX AF,AF' 	0x08
EX DE,HL 	0xEB
EXX 	0xD9
HALT 	0x76
IM 0 	0xED 0x46
IM 1 	0xED 0x56
IM 2 	0xED 0x5E
IN A,(C) 	0xED 0x78
IN A,(n) 	0xDB n
IN B,(C) 	0xED 0x40
IN C,(C) 	0xED 0x48
IN D,(C) 	0xED 0x50
IN E,(C) 	0xED 0x58
IN H,(C) 	0xED 0x60
IN L,(C) 	0xED 0x68
IN F,(C) 	0xED 0x70
INC (HL) 	0x34
INC (IXo) 	0xDD 0x34 o
INC (IYo) 	0xFD 0x34 o
INC A 	0x3C
INC B 	0x04
INC BC 	0x03
INC C 	0x0C
INC D 	0x14
INC DE 	0x13
INC E 	0x1C
INC H 	0x24
INC HL 	0x23
INC IX 	0xDD 0x23
INC IY 	0xFD 0x23
INC IXq 	0xDD 0x04+8*IXq
INC IYq 	0xFD 0x04+8*IYq
INC L 	0x2C
INC SP 	0x33
IND 	0xED 0xAA
INDR 	0xED 0xBA
INI 	0xED 0xA2
INIR 	0xED 0xB2
JP nn 	0xC3 nn
JP (HL) 	0xE9
JP (IX) 	0xDD 0xE9
JP (IY) 	0xFD 0xE9
JP C,nn 	0xDA nn
JP M,nn 	0xFA nn
